"name","region","year","POP","GDP","HEX","LAN","MOR","GDP_cap","HEX_total"
"Cuba","Latin America & Caribbean",2002,11184540,33590400000,6.49530818,106390,7.7,3003.28846783149,218179999889.472
"Cyprus","Europe & Central Asia",2002,979883,11345759615,6.1236131,9240,5.8,11578.6880831691,69477042207.865
"Czech Republic","Europe & Central Asia",2002,10196916,81696651659,6.79738309,77270,6,8011.89807379015,555323438496.507
"Denmark","Europe & Central Asia",2002,5375931,1.79e+11,9.33288751,42430,5.4,33296.558307761,1670586864290
"Djibouti","Middle East & North Africa",2002,745459,591122039.6,5.44853384,23180,96,792.963851264791,3220748436.33042
"Dominica","Latin America & Caribbean",2002,69806,337695734.8,4.71101985,750,15.1,4837.63193421769,1590891309.90314
"Dominican Republic","Latin America & Caribbean",2002,8832286,26571659051,5.78862837,48320,39.1,3008.46904765086,153813459420.586
"Ecuador","Latin America & Caribbean",2002,13072056,28548945000,4.61526692,248360,31.9,2183.96746464366,131761001459.399
"Egypt, Arab Rep.","Middle East & North Africa",2002,70908710,87850683979,5.96959135,995450,41.4,1238.92655752728,524432683172.622
"El Salvador","Latin America & Caribbean",2002,5874301,14306700000,7.89933898,20720,29,2435.47274816187,113013472985.166
"Equatorial Guinea","Sub-Saharan Africa",2002,567664,1806742742,2.05102618,28050,143.8,3182.76787324896,3705676664.36699
"Eritrea","Sub-Saharan Africa",2002,3788532,729321366.7,4.022588,101000,80.4,192.507643250737,2933759377.83102
"Estonia","Europe & Central Asia",2002,1379350,7322068381,4.8440834,42390,9.4,5308.34696124986,35468709898.067
"Ethiopia","Sub-Saharan Africa",2002,70391170,7850809498,4.72945755,1e+06,132.2,111.531169292967,37130070253.9278
"Faroe Islands","Europe & Central Asia",2002,47452,1268445919,NA,1396,NA,26731.1371280452,NA
"Fiji","East Asia & Pacific",2002,815691,1842691481,3.48156111,18270,23.9,2259.0557956383,6415442997.9779
"Finland","Europe & Central Asia",2002,5200598,1.4e+11,7.80782855,304590,4.1,26919.9811252475,1093095997000
"France","Europe & Central Asia",2002,61805267,1.5e+12,10.22030799,547566,5.1,24269.776231207,15330461985000
"French Polynesia","East Asia & Pacific",2002,245032,NA,NA,3660,NA,NA,NA
"Gabon","Sub-Saharan Africa",2002,1289192,5310381151,3.21867604,257670,82.5,4119.15459528139,17092396573.9913
"Gambia, The","Sub-Saharan Africa",2002,1307674,578236035.1,3.75098777,10120,110.2,442.186688043044,2168956295.83339
"Georgia","Europe & Central Asia",2002,4357000,3395778674,8.72331141,69490,31.1,779.384593527657,29622434852.7389
"Germany","Europe & Central Asia",2002,82488495,2.08e+12,10.39990223,348860,5.1,25215.6376474077,21631796638400
